Primary_Genre,All_Tags,Price_USD,Review_Score_Pct,Total_Reviews,Estimated_Owners
RPG,Turn-Based Strategy;Turn-Based Tactics;Tactical RPG;Fantasy;Medieval;Story Rich;JRPG;Emotional;Strategy RPG;RPG,34.99,81,4795,143850
Casual,Early Access;Online Co-Op;Funny;Immersive Sim;Aliens;Multiplayer;Simulation;Management;First-Person;America,12.99,86,1739,52170
Action,RPG;Action;Adventure;JRPG;Singleplayer;Open World;Action RPG;Party-Based RPG;Action-Adventure;Story Rich,29.99,71,20495,614850
Action,Horror;Singleplayer;Free to Play;Puzzle;First-Person;Survival Horror;Dark;Psychological Horror;Mystery;Survival,0,93,37330,1119900
Action,Zombies;Multiplayer;Online Co-Op;Singleplayer;Action;Co-op;Shooter;Third-Person Shooter;PvE;Survival Horror,7.49,77,22495,674850
Simulation,Football (Soccer);Sports;Multiplayer;Simulation;Singleplayer;Controller;Competitive;Local Co-Op;Realistic;Online Co-Op,20.99,48,46691,1400730
Strategy,,0,0,0,0
Action,Multiplayer;FPS;Action;Military;Singleplayer;Shooter;War;Modern;Combat;Realistic,69.99,45,262749,7882470
Action,Horror;Online Co-Op;Multiplayer;Comedy;Co-op;Physics;First-Person;3D;Stealth;Survival,6.99,95,293603,8808090
Action,Magic;Open World;Fantasy;Singleplayer;Adventure;RPG;Character Customization;Exploration;Story Rich;Third Person,8.99,86,265344,7960320
Adventure,Base Building;Automation;Open World;Crafting;Multiplayer;Co-op;Building;Resource Management;Sandbox;Exploration,27.99,96,221670,6650100
Massively Multiplayer,,19.99,0,76795,2303850
RPG,Open World;Multiplayer;Post-apocalyptic;RPG;Dark Comedy;Capitalism;Survival;Base Building;Co-op;Shooter,39.99,67,75737,2272110
Simulation,,0,0,0,0
Action,Survival;Shooter;Battle Royale;Multiplayer;FPS;PvP;Third-Person Shooter;Action;Online Co-Op;Tactical,0,74,1757549,52726470
Action,Action;Adventure;Open World;Singleplayer;First-Person;Post-apocalyptic;Action RPG;FPS;Action-Adventure;Survival,24.99,68,3409,102270
Adventure,Horror;Co-op;Adventure;Atmospheric;Multiplayer;Dark;3D;Third Person;Puzzle;Local Co-Op,39.99,76,9717,291510
Action,Adventure;Open World;RPG;Dark Fantasy;First-Person;Third Person;Character Customization;Exploration;Singleplayer;Action RPG,31.49,83,26900,807000
Action,Looter Shooter;Open World;Singleplayer;Multiplayer;Third-Person Shooter;Online Co-Op;Shooter;Action;Adventure;RPG,29.99,82,27517,825510
Action,Early Access;Survival;Open World;Multiplayer;Dinosaurs;Base Building;Building;Crafting;Adventure;Sandbox,44.99,59,89595,2687850
Indie,Roguelike Deckbuilder;Card Game;Card Battler;Roguelike;Deckbuilding;Turn-Based;Strategy;Singleplayer;Roguelite;Replay Value,6.24,95,182177,5465310
Action,,0,0,1033,30990
Indie,Story Rich;RPG;Choices Matter;Isometric;Dungeons & Dragons;Interactive Fiction;CRPG;Singleplayer;Hand-drawn;Nonlinear,24.99,96,2707,81210
Action,Psychedelic;Surreal;Atmospheric;Voxel;Sandbox;Open World;3D;Psychological Horror;First-Person;Horror,9.99,95,1298,38940
Simulation,Grand Strategy;Economy;Historical;Political Sim;Strategy;Capitalism;Politics;Diplomacy;Management;Simulation,14.99,75,39981,1199430
Action,Military;Simulation;Shooter;Realistic;Action;FPS;Strategy;Multiplayer;First-Person;Sandbox,39.99,82,41905,1257150
Action,Horror;Online Co-Op;Multiplayer;Psychological Horror;Co-op;VR;Supernatural;First-Person;Investigation;Dark,19.99,93,662804,19884120
Action,FPS;Action;Shooter;Multiplayer;Singleplayer;Zombies;Violent;First-Person;Gore;Futuristic,69.99,37,3430,102900
Action,Sandbox;Action RPG;Exploration;MMORPG;War;Crafting;Medieval;PvP;First-Person;Action-Adventure,9.99,65,61467,1844010
Action,Multiplayer;Co-op;Funny;Online Co-Op;Adventure;Physics;Driving;First-Person;Exploration;Indie,7.99,87,61441,1843230
Indie,Farming Sim;Pixel Graphics;Multiplayer;Life Sim;RPG;Relaxing;Simulation;Agriculture;Crafting;Sandbox,14.99,98,846150,25384500
Action,Base Building;Online Co-Op;Multiplayer;Tower Defense;Survival;Hack and Slash;Action RPG;Exploration;Sandbox;Building,9.89,88,20361,610830
Action,RPG;MMORPG;Open World;Fantasy;Adventure;Multiplayer;Exploration;Singleplayer;Massively Multiplayer;Action,19.99,75,132001,3960030
Action,Action;Singleplayer;Souls-like;Adventure;Open World;Third Person;Sci-fi;Action-Adventure;Story Rich;Space,6.99,78,72908,2187240
Simulation,Strategy;World War II;Grand Strategy;War;Historical;Military;Alternate History;Multiplayer;Simulation;Tactical,14.99,88,269521,8085630
RPG,Cyberpunk;Open World;Nudity;RPG;Singleplayer;Story Rich;Mature;Sci-fi;FPS;Futuristic,59.99,94,835680,25070400
RPG,Strategy;4X;Turn-Based Strategy;Character Customization;Fantasy;RPG;Grand Strategy;Dark Fantasy;Turn-Based Combat;War,24.99,80,15780,473400
Simulation,Simulation;Farming Sim;Realistic;Multiplayer;3D;First-Person;Economy;Time Management;Building;Immersive Sim,29.99,92,32325,969750
Simulation,Simulation;Sports;Football (American);Competitive;Strategy;Multiplayer,13.99,65,4410,132300
Casual,Casual;Card Game;Comedy;Gambling;Cartoon;Funny;3D;Cartoony;Singleplayer;Conversation,9.99,95,5213,156390
Action,Online Co-Op;Multiplayer;Comedy;Magic;Horror;Physics;Dark Fantasy;Survival Horror;Procedural Generation;First-Person,9.99,85,5163,154890
Unknown,Story Rich;Lore-Rich;Free to Play;Turn-Based Combat;Turn-Based Tactics;Visual Novel;Singleplayer;RPG;Strategy;Great Soundtrack,0,92,0,0
Action,Free to Play;Hero Shooter;Multiplayer;FPS;Shooter;Action;Class-Based;Team-Based;Funny;First-Person,0,94,46365,1390950
Action,Open World;Survival;Base Building;Multiplayer;Online Co-Op;Crafting;RPG;Adventure;Exploration;Building,23.99,80,86472,2594160
Action,Open World;Anime;Free to Play;Action;Adventure;RPG;Story Rich;Combat;Exploration;3D,0,85,0,0
Indie,Automobile Sim;Driving;Open World;Transportation;Simulation;America;Realistic;Moddable;Relaxing;Exploration,19.99,94,160267,4808010
Action,Multiplayer;Online Co-Op;Co-op;Physics;Exploration;Adventure;First-Person;Comedy;Procedural Generation;3D,7.99,92,243595,7307850
RPG,RPG;2.5D;Pixel Graphics;1980s;Atmospheric;Fantasy;Emotional;Lore-Rich;Magic;Turn-Based Combat,44.99,94,1469,44070
Strategy,Tower Defense;Strategy;Multiplayer;Singleplayer;Online Co-Op;Co-op;Family Friendly;Casual;3D;Cartoony,5.59,96,337355,10120650
Racing,Racing;Open World;Driving;Automobile Sim;Simulation;Multiplayer;Sports;Exploration;Realistic;Arcade,69.99,0,0,0
Action,Free to Play;FPS;Battle Royale;Multiplayer;Shooter;Action;Singleplayer;Violent;First-Person;Military,0,24,9773,293190
Action,Open World;Story Rich;Western;Multiplayer;Adventure;Action;Realistic;Singleplayer;Shooter;Horses,59.99,95,785860,23575800
Action,Horror;Team-Based;Combat;Co-op;Warhammer 40K;FPS;PvE;Class-Based;Shooter;Hack and Slash,9.99,66,101964,3058920
Racing,Simulation;Driving;Physics;Realistic;Destruction;Automobile Sim;Sandbox;Open World;Racing;Moddable,24.99,96,353198,10595940
Action,Open World;Survival;Creature Collector;Multiplayer;Open World Survival Craft;Online Co-Op;Crafting;PvP;Co-op;Indie,29.99,95,350981,10529430
Action,Early Access;Online Co-Op;Horror;Funny;Psychological Horror;Survival Horror;PvE;Action;Exploration;First-Person,7.49,82,6801,204030
Action,Warhammer 40K;Action;Co-op;Third-Person Shooter;Multiplayer;PvE;Adventure;Action-Adventure;Third Person;Sci-fi,59.99,82,149986,4499580
Action,Destruction;Free to Play;FPS;Multiplayer;Shooter;PvP;Team-Based;Competitive;Action;First-Person,0,78,0,0
Action,Zombies;Survival Horror;Horror;Singleplayer;Remake;Third Person;Gore;Action;Puzzle;Atmospheric,39.99,97,135516,4065480
Indie,Simulation;Sports;Strategy;Sandbox;Card Battler;Immersive Sim;Trading Card Game;2D;3D;Management,44.99,60,0,0
Massively Multiplayer,Racing;Automobile Sim;Simulation;VR;Driving;Sports;Multiplayer;Realistic;Massively Multiplayer;Singleplayer,9.99,80,4973,149190
Indie,Colony Sim;Base Building;Survival;Strategy;Management;Sandbox;Singleplayer;Moddable;Simulation;Sci-fi,34.99,97,199425,5982750
Action,CRPG;Turn-Based Strategy;Strategy;Warhammer 40K;Adventure;Atmospheric;RPG;Character Customization;Fantasy;Co-op,19.99,92,29298,878940
RPG,RPG;JRPG;Party-Based RPG;Singleplayer;2.5D;Pixel Graphics;Turn-Based;Character Customization;Anime;Strategy,37.49,84,2323,69690
Simulation,Simulation;Dinosaurs;Strategy;Sandbox;City Builder;Sequel;Action;Management;Resource Management;Economy,59.99,92,7738,232140
Action,Hunting;Action;Multiplayer;Online Co-Op;Co-op;Character Customization;Dragons;Open World;Dating Sim;Third Person,69.99,71,190689,5720670
Action,Early Access;Physics;Gore;Combat;Medieval;Swordplay;Blood;Realistic;Historical;Simulation,24.99,71,20204,606120
Adventure,Exploration;Fishing;Lovecraftian;Open World;Adventure;Inventory Management;Mystery;Atmospheric;Psychological Horror;Singleplayer,9.99,98,43759,1312770
Action,Multiplayer;Zombies;FPS;Shooter;Action;First-Person;Singleplayer;Co-op;Futuristic;Illuminati,59.99,89,150665,4519950
Casual,Early Access;Simulation;Casual;Relaxing;First-Person;Sandbox;Underwater;3D;Realistic;Physics,13.49,92,582,17460
Action,Horror;Third-Person Shooter;Survival Horror;Sci-fi;Space;Psychological Horror;Shooter;Singleplayer;Action-Adventure;Atmospheric,8.99,88,55057,1651710
RPG,Open World;RPG;Adventure;Fantasy;Singleplayer;Character Customization;Moddable;Dragons;Story Rich;Magic,39.99,95,207540,6226200
Action,Multiplayer;Open World;Adventure;Pirates;Co-op;Online Co-Op;PvP;Sailing;Action;First-Person,39.99,79,316861,9505830
Action,Free to Play;Open World;Looter Shooter;Multiplayer;MMORPG;FPS;Co-op;PvE;PvP;Shooter,0,54,133686,4010580
Action,Free to Play;Survival;Multiplayer;Open World Survival Craft;Co-op;Open World;Adventure;Base Building;Post-apocalyptic;Massively Multiplayer,0,84,0,0
Action,,0,0,0,0
Action,FPS;Tactical;Realistic;Extraction Shooter;Simulation;Open World;Military;Shooter;Action;Competitive,39.99,78,58634,1759020
Action,RPG;Medieval;Open World;Singleplayer;Story Rich;Realistic;First-Person;Adventure;Action;Historical,59.99,90,127435,3823050
